time[s] , x_t[m] , y_t[m] ,theta[deg]
0.00 , 0.000 , 0.000 , 0.000 
0.06 , 0.000 , 0.000 , 0.000 
0.12 , 0.000 , 0.000 , 0.000 
0.18 , 0.000 , 0.000 , 0.000 
0.23 , 0.000 , 0.000 , 0.000 
0.30 , 0.000 , 0.000 , 0.000 
0.36 , 0.000 , 0.000 , 0.000 
0.41 , 0.000 , 0.000 , 0.000 
0.45 , 0.000 , 0.000 , 0.000 
0.51 , 0.000 , 0.000 , 0.000 
0.57 , 0.000 , 0.000 , 0.000 
0.61 , 0.000 , 0.000 , 0.000 
0.66 , 0.000 , 0.000 , 0.000 
0.71 , 0.004 , -0.000 , -0.542 
0.77 , 0.010 , -0.000 , -1.626 
0.83 , 0.020 , -0.001 , -3.143 
0.90 , 0.031 , -0.002 , -4.769 
0.95 , 0.041 , -0.003 , -6.503 
1.01 , 0.052 , -0.004 , -7.696 
1.07 , 0.059 , -0.005 , -9.322 
1.11 , 0.066 , -0.007 , -10.731 
1.16 , 0.074 , -0.008 , -11.923 
1.21 , 0.082 , -0.010 , -13.224 
1.26 , 0.092 , -0.013 , -14.958 
1.32 , 0.099 , -0.015 , -16.259 
1.36 , -1.319 , 2.971 , 1195.436 
1.39 , -4.443 , 4.012 , -18.426 
1.44 , -4.435 , 4.009 , -19.727 
1.49 , -4.428 , 4.006 , -21.136 
1.55 , -4.419 , 4.003 , -22.870 
1.61 , -4.409 , 3.998 , -24.713 
1.67 , -4.400 , 3.993 , -26.447 
1.74 , -4.389 , 3.988 , -27.748 
1.80 , -4.381 , 3.983 , -29.916 
1.84 , -4.374 , 3.979 , -31.216 
1.89 , -4.368 , 3.975 , -32.517 
1.95 , -4.361 , 3.971 , -33.818 
1.99 , -4.355 , 3.966 , -35.335 
2.04 , -4.346 , 3.960 , -37.069 
2.10 , -4.340 , 3.955 , -38.479 
2.14 , -4.334 , 3.950 , -39.671 
2.19 , -4.328 , 3.945 , -40.971 
2.25 , -4.321 , 3.938 , -42.814 
2.31 , -4.313 , 3.930 , -44.548 
2.37 , -4.307 , 3.924 , -45.849 
2.43 , -4.300 , 3.916 , -47.258 
2.49 , -4.293 , 3.908 , -49.534 
2.52 , -4.290 , 3.904 , -50.293 
2.55 , -4.287 , 3.900 , -51.160 
2.59 , -4.282 , 3.894 , -52.569 
2.65 , -4.277 , 3.888 , -53.870 
2.70 , -4.273 , 3.881 , -55.171 
2.74 , -4.268 , 3.875 , -56.580 
2.79 , -4.263 , 3.865 , -58.314 
2.85 , -4.257 , 3.856 , -60.157 
2.92 , -4.252 , 3.847 , -61.999 
2.98 , -4.249 , 3.840 , -63.300 
3.02 , -4.245 , 3.833 , -64.709 
3.08 , -4.241 , 3.823 , -66.335 
3.14 , -4.237 , 3.813 , -68.177 
3.19 , -4.235 , 3.806 , -69.478 
3.24 , -4.232 , 3.799 , -70.887 
3.30 , -4.229 , 3.788 , -72.621 
3.35 , -4.227 , 3.781 , -73.922 
3.40 , -4.225 , 3.773 , -75.331 
3.45 , -4.223 , 3.765 , -76.632 
3.49 , -4.221 , 3.758 , -77.933 
3.55 , -4.219 , 3.747 , -79.775 
3.60 , -4.218 , 3.739 , -81.076 
3.65 , -4.217 , 3.732 , -82.485 
3.71 , -4.216 , 3.718 , -84.653 
3.78 , -4.215 , 3.707 , -86.062 
3.86 , -4.215 , 3.695 , -88.663 
3.91 , -4.215 , 3.687 , -90.072 
3.96 , -4.215 , 3.679 , -91.373 
4.01 , -4.215 , 3.669 , -93.107 
4.08 , -4.216 , 3.658 , -94.841 
4.13 , -4.217 , 3.650 , -96.251 
4.18 , -4.218 , 3.642 , -97.551 
4.23 , -4.220 , 3.632 , -99.394 
4.30 , -4.222 , 3.622 , -101.128 
4.35 , -4.224 , 3.611 , -102.971 
4.43 , -4.227 , 3.601 , -104.813 
4.48 , -4.230 , 3.591 , -106.439 
4.55 , -4.233 , 3.581 , -108.282 
4.59 , -4.236 , 3.574 , -109.582 
4.64 , -4.239 , 3.566 , -110.992 
4.69 , -4.242 , 3.559 , -112.292 
4.75 , -4.246 , 3.549 , -114.026 
4.81 , -4.251 , 3.540 , -115.869 
4.86 , -4.254 , 3.533 , -117.170 
4.90 , -4.258 , 3.526 , -118.579 
4.96 , -4.263 , 3.517 , -120.205 
5.03 , -4.269 , 3.508 , -122.047 
5.10 , -4.275 , 3.499 , -123.890 
5.16 , -4.281 , 3.491 , -125.624 
5.22 , -4.288 , 3.482 , -127.142 
5.28 , -4.294 , 3.474 , -129.310 
5.32 , -4.297 , 3.470 , -130.177 
5.35 , -4.301 , 3.466 , -131.152 
5.40 , -4.306 , 3.460 , -132.453 
5.45 , -4.312 , 3.454 , -133.754 
5.50 , -4.319 , 3.447 , -135.488 
5.56 , -4.327 , 3.440 , -137.330 
5.62 , -4.333 , 3.435 , -138.739 
5.65 , -4.339 , 3.430 , -140.040 
5.71 , -4.345 , 3.425 , -141.449 
5.76 , -4.354 , 3.418 , -143.183 
5.83 , -4.362 , 3.412 , -145.026 
5.89 , -4.372 , 3.406 , -146.327 
5.98 , -4.382 , 3.400 , -149.037 
6.03 , -4.392 , 3.394 , -150.771 
6.08 , -4.399 , 3.391 , -152.180 
6.12 , -4.406 , 3.387 , -153.589 
6.18 , -4.413 , 3.384 , -154.890 
6.22 , -4.420 , 3.380 , -156.190 
6.28 , -4.430 , 3.377 , -158.141 
6.35 , -4.440 , 3.373 , -159.876 
6.41 , -4.451 , 3.370 , -161.827 
6.46 , -4.461 , 3.366 , -163.561 
6.53 , -4.471 , 3.364 , -165.403 
6.59 , -4.483 , 3.361 , -166.704 
6.67 , -4.495 , 3.359 , -169.522 
6.72 , -4.503 , 3.358 , -170.823 
6.79 , -4.513 , 3.356 , -172.666 
6.83 , -4.521 , 3.355 , -173.966 
6.88 , -4.530 , 3.355 , -175.375 
6.93 , -4.538 , 3.354 , -176.784 
6.98 , -4.548 , 3.354 , -178.627 
7.04 , -4.559 , 3.354 , -180.470 
7.10 , -4.570 , 3.354 , -182.312 
7.17 , -4.575 , 3.355 , -183.505 
7.23 , -4.576 , 3.355 , -183.938 
7.29 , -4.576 , 3.355 , -183.938 
7.38 , -4.576 , 3.355 , -183.938 
7.42 , -4.576 , 3.355 , -183.938 
7.47 , -4.576 , 3.355 , -183.938 
7.53 , -4.576 , 3.355 , -183.938 
7.59 , -4.576 , 3.355 , -183.938 
7.64 , -4.576 , 3.355 , -183.938 
7.69 , -4.576 , 3.355 , -183.938 
7.75 , -4.576 , 3.355 , -183.938 
7.80 , -4.576 , 3.355 , -183.938 
7.86 , -4.576 , 3.355 , -183.938 
7.93 , -4.576 , 3.355 , -183.938 
8.00 , -4.576 , 3.355 , -183.938 
8.06 , -4.576 , 3.355 , -183.938 
8.10 , -4.576 , 3.355 , -183.938 
8.16 , -4.576 , 3.355 , -183.938 
8.20 , -4.576 , 3.355 , -183.938 
8.25 , -4.576 , 3.355 , -183.938 
8.30 , -4.576 , 3.355 , -183.938 
8.36 , -4.576 , 3.355 , -183.938 
8.42 , -4.576 , 3.355 , -183.938 
8.48 , -4.576 , 3.355 , -183.938 
8.55 , -4.576 , 3.355 , -183.938 
8.60 , -4.576 , 3.355 , -183.938 
8.67 , -4.576 , 3.355 , -183.938 
8.74 , -4.576 , 3.355 , -183.938 
8.77 , -4.576 , 3.355 , -183.938 
8.80 , -4.576 , 3.355 , -183.938 
8.85 , -4.576 , 3.355 , -183.938 
8.90 , -4.576 , 3.355 , -183.938 
8.95 , -4.576 , 3.355 , -183.938 
9.00 , -4.576 , 3.355 , -183.938 
9.06 , -4.576 , 3.355 , -183.938 
9.12 , -4.576 , 3.355 , -183.938 
9.15 , -4.576 , 3.355 , -183.938 
9.21 , -4.576 , 3.355 , -183.938 
9.26 , -4.576 , 3.355 , -183.938 
9.33 , -4.576 , 3.355 , -183.938 
9.40 , -4.576 , 3.355 , -183.938 
9.47 , -4.576 , 3.355 , -183.938 
